,alphabet_size,size,memory_dump
-1,26,10,202924
0,5,10,203811
1,4,10,204111
2,2,10,204603
3,17,10,204136
4,10,10,203732
5,11,10,20488
6,26,100,278337
7,2,100,293548
8,5,100,280684
9,4,100,282300
10,17,100,278213
11,11,100,277601
12,10,100,277305
13,26,1000,99215
14,2,1000,178898
15,17,1000,83
16,4,1000,90938
17,5,1000,7526
18,11,1000,9483
19,10,1000,13583
20,17,10000,124215
21,11,10000,54387
22,10,10000,548483
23,26,10000,927479
24,2,10000,21894
25,4,10000,77610
26,5,10000,895750
27,2,100000,734763
28,4,100000,172115
29,5,100000,993927
30,10,100000,78768
31,11,100000,154328
32,17,100000,518316
33,26,100000,772832
34,5,1000000,702688
35,4,1000000,226152
36,2,1000000,918260
37,26,1000000,497737
38,17,1000000,35609
39,10,1000000,895373
40,11,1000000,321349
